code,product_name,origins,image_url
3661030029385,Abricot,Espagne,https://images.openfoodfacts.org/images/products/366/103/002/9385/front_fr.4.400.jpg
3661030020191,Fraise,Espagne,https://images.openfoodfacts.org/images/products/366/103/002/0191/front_fr.4.400.jpg
3661030015739,Orange,Espagne,https://images.openfoodfacts.org/images/products/366/103/001/5739/front_fr.4.400.jpg
3661030011069,Clémentines,Espagne,https://images.openfoodfacts.org/images/products/366/103/001/1069/front_fr.3.400.jpg
3661030002784,Citron (+20% gratuit),Espagne,https://images.openfoodfacts.org/images/products/366/103/000/2784/front_fr.4.400.jpg
3661030001466,Citrons,Espagne,https://images.openfoodfacts.org/images/products/366/103/000/1466/front_fr.15.400.jpg
3760024655439,Tomates rondé ecologiques,Espagne,https://images.openfoodfacts.org/images/products/376/002/465/5439/front_fr.6.400.jpg
7610029142006,Pfirsiche Gelbfleischig Astoria,Espagne,https://images.openfoodfacts.org/images/products/761/002/914/2006/front_fr.3.400.jpg
8412276082222,"Tomate cerise grappe, Bio, catégorie 2, Espagne, barquette",Espagne,https://images.openfoodfacts.org/images/products/841/227/608/2222/front_fr.11.400.jpg
8411162101306,Ria,Espagne,https://images.openfoodfacts.org/images/products/841/116/210/1306/front_fr.12.400.jpg
3700638100246,Poivron Duo,Espagne,https://images.openfoodfacts.org/images/products/370/063/810/0246/front_fr.5.400.jpg
8033971900460,Abricot,Espagne,https://images.openfoodfacts.org/images/products/803/397/190/0460/front_fr.11.400.jpg
8400000223201,Oranges Lane-Late,Espagne,https://images.openfoodfacts.org/images/products/840/000/022/3201/front_fr.3.400.jpg
8400010010006,Citrons Bio,Espagne,https://images.openfoodfacts.org/images/products/840/001/001/0006/front_fr.14.400.jpg
8400034000793,Citrons Verna,Espagne,https://images.openfoodfacts.org/images/products/840/003/400/0793/front_fr.6.400.jpg
8400035002628,Mandarine Ortanique,Espagne,https://images.openfoodfacts.org/images/products/840/003/500/2628/front_fr.6.400.jpg
3760002451336,Citron Variété Redrojo,Espagne,https://images.openfoodfacts.org/images/products/376/000/245/1336/front_fr.4.400.jpg
8400047004429,Fraises,Espagne,https://images.openfoodfacts.org/images/products/840/004/700/4429/front_fr.4.400.jpg
3700465201550,Tomate ronde bio,Espagne,https://images.openfoodfacts.org/images/products/370/046/520/1550/front_fr.3.400.jpg
3760005724130,Brocoli,Espagne,https://images.openfoodfacts.org/images/products/376/000/572/4130/front_fr.4.400.jpg
3700465201345,Tomates cerise bio,Espagne,https://images.openfoodfacts.org/images/products/370/046/520/1345/front_fr.5.400.jpg
